ref;Number;Anion;Cation;Antimicrobial
AB.85;AB.85;AB.85;AB.85;"E.coli(MTCC739):>125;P.aeruginosa(MTCC2453):>125;K.planticola(MTCC530):31.2;S.aureus(MTCC96):3.9;B.subtilis(MTCC121):7.8;S.aureus(mLS16MTCC2940):7.8;M.luteus(MTCC2470):3.9;C.albicans(MTCC3017):15.6;C.albicans(MTCC183):31.2;C.albicans(MTCC277):15.6;C.albicans(MTCC854):15.6;C.albicans(MTCC1637):31.2;C.albicans(MTCC3018):31.2;C.albicans(MTCC3958):31.2;C.albicans(MTCC4748):15.6;C.albicans(MTCC7315):15.6;C.parapsilosis(MTCC1744):62.5;C.aaseri(MTCC1962):15.6;C.glabrata(MTCC3019):31.2;C.krusei(MTCC3020):31.2;Issatchenikiahanoiensis(MTCC4755):31.2;MIC(ug/mL)"
AB.86;AB.86;AB.86;AB.86;"E.coli:31.25;S.pneumonia:1.95;B.subtilis:0.98;A.Fumigatus:7.81;MIC(ug/mL);E.coli:12.2;S.pneumonia:13.6;B.subtilis:14.4;A.Fumigatus:13.2;IZDmm(1000ug/mL)"
AB.87;AB.87;AB.87;AB.87;"E.coli:12.9;S.pneumonia:15.1;B.subtilis:15.9;A.Fumigatus:12.9;IZDmm(1000ug/mL)"
AB.88;AB.88;AB.88;AB.88;"E.coli:15.3;S.pneumonia:16.2;B.subtilis:19.8;A.Fumigatus:15.7;IZDmm(1000ug/mL)"
AB.89;AB.89;AB.89;AB.89;"E.coli:15.9;S.pneumonia:19.6;B.subtilis:21.3;A.Fumigatus:18.6;IZDmm(1000ug/mL)"
AB.90;AB.90;AB.90;AB.90;"E.coli:15.63;S.pneumonia:0.98;B.subtilis:0.49;A.Fumigatus:3.9;MIC(ug/mL);E.coli:12.7;S.pneumonia:14.6;B.subtilis:15.4;A.Fumigatus:12.6;IZDmm(1000ug/mL)"
AB.91;AB.91;AB.91;AB.91;"E.coli:15.9;S.pneumonia:17.3;B.subtilis:18.3;A.Fumigatus:16.3;IZDmm(1000ug/mL)"
AB.92;AB.92;AB.92;AB.92;"E.coli:16.9;S.pneumonia:18.4;B.subtilis:19.9;A.Fumigatus:17.6;IZDmm(1000ug/mL)"
AB.93;AB.93;AB.93;AB.93;"E.coli:16.9;S.pneumonia:20.6;B.subtilis:22.4;A.Fumigatus:17.8;IZDmm(1000ug/mL)"
AB.94;AB.94;AB.94;AB.94;"P.putida:0.5;B.subtilis:0.125;C.albicans:0.25;MIC(mM);P.putida:1.0;B.subtilis:0.5;C.albicans:0.5;MBC(mM)"
AB.95;AB.95;AB.95;AB.95;"P.putida:0.5;B.subtilis:0.125;C.albicans:0.25;MIC(mM);P.putida:1.0;B.subtilis:0.5;C.albicans:0.5;MBC(mM)"
AB.96;AB.96;AB.96;AB.96;"P.putida:0.5;B.subtilis:0.125;C.albicans:0.125;MIC(mM);P.putida:1.0;B.subtilis:0.5;C.albicans:0.25;MBC(mM)"
AB.97;AB.97;AB.97;AB.97;"P.putida:0.125;B.subtilis:0.125;C.albicans:0.125;MIC(mM);P.putida:1.0;B.subtilis:0.5;C.albicans:0.25;MBC(mM)"
AB.98;AB.98;AB.98;AB.98;"P.putida:0.125;B.subtilis:0.0313;C.albicans:0.125;MIC(mM);P.putida:0.5;B.subtilis:0.25;C.albicans:0.25;MBC(mM)"
AB.99;AB.99;AB.99;AB.99;"P.putida:0.05;B.subtilis:0.0078;C.albicans:0.0125;MIC(mM);P.putida:0.125;B.subtilis:0.0313;C.albicans:0.025;MBC(mM)"
AB.100;AB.100;AB.100;AB.100;"E.coli:0.025;P.putida:0.025;MIC(mM);E.coli:0.050;P.putida:0.050;MBC(mM);E.coli:0.027;P.putida:0.037;EC50(mM)"
AB.101;AB.101;AB.101;AB.101;"E.coli:0.0125;P.putida:0.025;MIC(mM);E.coli:0.050;P.putida:0.050;MBC(mM);E.coli:0.032;P.putida:0.032;EC50(mM)"
AB.102;AB.102;AB.102;AB.102;"E.coli:0.05;P.putida:0.05;MIC(mM);E.coli:0.100;P.putida:>0.100;MBC(mM);E.coli:0.092;P.putida:0.084;EC50(mM)"
AB.103;AB.103;AB.103;AB.103;"E.coli:0.025;P.putida:0.05;MIC(mM);E.coli:0.050;P.putida:0.100;MBC(mM);E.coli:0.028;P.putida:0.052;EC50(mM)"
AB.104;AB.104;AB.104;AB.104;"E.coli:0.0125;P.putida:0.025;MIC(mM);E.coli:0.025;P.putida:0.050;MBC(mM);E.coli:0.023;P.putida:0.046;EC50(mM)"
AB.105;AB.105;AB.105;AB.105;"E.coli:0.05;P.putida:0.05;MIC(mM);E.coli:0.100;P.putida:>0.100;MBC(mM);E.coli:0.064;P.putida:0.119;EC50(mM)"
AB.106;AB.106;AB.106;AB.106;"E.coli:0.025;P.putida:0.025;MIC(mM);E.coli:0.050;P.putida:0.050;MBC(mM);E.coli:0.021;P.putida:0.034;EC50(mM)"
AB.107;AB.107;AB.107;AB.107;"E.coli:0.0125;P.putida:0.025;MIC(mM);E.coli:0.025;P.putida:0.025;MBC(mM);E.coli:0.020;P.putida:0.031;EC50(mM)"
AB.108;AB.108;AB.108;AB.108;"E.coli:0.05;P.putida:0.05;MIC(mM);E.coli:0.100;P.putida:>0.100;MBC(mM);E.coli:0.088;P.putida:0.114;EC50(mM)"
AB.109;AB.109;AB.109;AB.109;"E.coli:0.025;P.putida:0.025;MIC(mM);E.coli:0.050;P.putida:0.050;MBC(mM);E.coli:0.048;P.putida:0.041;EC50(mM)"
AB.110;AB.110;AB.110;AB.110;"E.coli:0.0125;P.putida:0.025;MIC(mM);E.coli:0.025;P.putida:0.050;MBC(mM);E.coli:0.021;P.putida:0.024;EC50(mM)"
AB.111;AB.111;AB.111;AB.111;"E.coli:0.025;P.putida:0.05;MIC(mM);E.coli:0.100;P.putida:>0.100;MBC(mM);E.coli:0.096;P.putida:0.243;EC50(mM)"
AB.112;AB.112;AB.112;AB.112;"E.coli:0.0125;P.putida:0.025;MIC(mM);E.coli:0.050;P.putida:0.050;MBC(mM);E.coli:0.035;P.putida:0.037;EC50(mM)"
AB.113;AB.113;AB.113;AB.113;"E.coli:0.0125;P.putida:0.025;MIC(mM);E.coli:0.025;P.putida:0.050;MBC(mM);E.coli:0.025;P.putida:0.017;EC50(mM)"
AB.114;AB.114;AB.114;AB.114;"E.coli:0.025;P.putida:0.05;MIC(mM);E.coli:0.100;P.putida:>0.100;MBC(mM);E.coli:0.061;P.putida:0.170;EC50(mM)"
AB.115;AB.115;AB.115;AB.115;"E.coli:0.0125;P.putida:0.025;MIC(mM);E.coli:0.025;P.putida:0.050;MBC(mM);E.coli:0.017;P.putida:0.029;EC50(mM)"
AB.116;AB.116;AB.116;AB.116;"E.coli:0.0125;P.putida:0.025;MIC(mM);E.coli:0.100;P.putida:>0.100;MBC(mM);E.coli:0.020;P.putida:0.031;EC50(mM)"
AB.117;AB.117;AB.117;AB.117;"E.coli:0.025;P.putida:0.50;MIC(mM);E.coli:0.100;P.putida:>0.100;MBC(mM);E.coli:0.094;P.putida:0.086;EC50(mM)"
AB.118;AB.118;AB.118;AB.118;"E.coli:0.013;EC50(uM)"
AB.119;AB.119;AB.119;AB.119;"E.coli:>0.15;EC50(uM)"
AB.120;AB.120;AB.120;AB.120;"E.coli:0.00626;EC50(uM)"
AB.121;AB.121;AB.121;AB.121;"E.coli:0.03673;EC50(uM)"
AB.122;AB.122;AB.122;AB.122;"E.coli:0.0181;EC50(uM)"
